Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007268~chemical synaptic transmission	6	4.651162791	0.003873106	"ENSMUSG00000032360, ENSMUSG00000020882, ENSMUSG00000000766, ENSMUSG00000020745, ENSMUSG00000029763, ENSMUSG00000066392"	110	172	18082	5.734249471	0.89750355	0.89750355	5.554012098
GOTERM_BP_DIRECT	GO:0048870~cell motility	3	2.325581395	0.007016402	"ENSMUSG00000022665, ENSMUSG00000043850, ENSMUSG00000031078"	110	21	18082	23.48311688	0.983967618	0.873380958	9.848664769
GOTERM_BP_DIRECT	GO:2001243~negative regulation of intrinsic apoptotic signaling pathway	3	2.325581395	0.011455205	"ENSMUSG00000095567, ENSMUSG00000036199, ENSMUSG00000030421"	110	27	18082	18.26464646	0.998844261	0.895057059	15.60407308
GOTERM_BP_DIRECT	GO:0018279~protein N-linked glycosylation via asparagine	3	2.325581395	0.014940498	"ENSMUSG00000031232, ENSMUSG00000028277, ENSMUSG00000024172"	110	31	18082	15.90791789	0.999854633	0.890196381	19.88109212
GOTERM_BP_DIRECT	GO:2000825~positive regulation of androgen receptor activity	2	1.550387597	0.017976476	"ENSMUSG00000038722, ENSMUSG00000028964"	110	3	18082	109.5878788	0.999976256	0.881119664	23.44119831
GOTERM_BP_DIRECT	GO:0045494~photoreceptor cell maintenance	3	2.325581395	0.024198625	"ENSMUSG00000037493, ENSMUSG00000043850, ENSMUSG00000020212"	110	40	18082	12.32863636	0.999999431	0.90896827	30.28160695
GOTERM_BP_DIRECT	GO:0060117~auditory receptor cell development	2	1.550387597	0.047228417	"ENSMUSG00000043850, ENSMUSG00000020745"	110	8	18082	41.09545455	1	0.982699429	50.95319066
GOTERM_BP_DIRECT	GO:0007264~small GTPase mediated signal transduction	5	3.875968992	0.054560037	"ENSMUSG00000055069, ENSMUSG00000021589, ENSMUSG00000038608, ENSMUSG00000019944, ENSMUSG00000024143"	110	236	18082	3.482665639	1	0.983701731	56.22654158
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	4	3.100775194	0.075730379	"ENSMUSG00000033278, ENSMUSG00000032087, ENSMUSG00000063687, ENSMUSG00000104252"	110	163	18082	4.033909649	1	0.99412086	68.63922689
GOTERM_BP_DIRECT	GO:0030150~protein import into mitochondrial matrix	2	1.550387597	0.092245812	"ENSMUSG00000024580, ENSMUSG00000075467"	110	16	18082	20.54772727	1	0.996590137	75.95171359
GOTERM_CC_DIRECT	GO:0032420~stereocilium	3	2.325581395	0.017793407	"ENSMUSG00000037493, ENSMUSG00000043850, ENSMUSG00000020745"	116	35	19662	14.52857143	0.968728471	0.968728471	20.04583657
GOTERM_CC_DIRECT	GO:0030054~cell junction	10	7.751937984	0.025033918	"ENSMUSG00000032087, ENSMUSG00000035062, ENSMUSG00000048490, ENSMUSG00000025666, ENSMUSG00000059482, ENSMUSG00000031078, ENSMUSG00000035798, ENSMUSG00000001552, ENSMUSG00000026383, ENSMUSG00000042046"	116	718	19662	2.360724234	0.992501491	0.913406066	27.08778832
